"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37"
"1420",-0.0324938395813198,-0.0323650150932845,-0.0321972811337035,-0.0320814205758833,-0.0319573537075333,-0.0318327723021304,-0.0317243044972962,-0.0315807757126664,-0.0314805637450194,-0.0313862005586573,-0.0312878964385042,-0.0312151111618948,-0.0311217137197585,-0.0310359550901083,-0.0309725965683241,-0.0309406961035948,-0.0308552299908686,-0.0308281228222742,-0.0308372527578953,-0.0308642648744785,-0.0308341384447856,-0.0309023786781518,-0.0309234590839374,-0.0309157563044118,-0.0309454179150851,-0.0309400656218357,-0.0310515713565506,-0.0310614500726907,-0.0311203346330981,-0.031200504386293,-0.0313231111795395,-0.0314020999545012,-0.0314742525446628,-0.0316002519154703,-0.0316814721165533,-0.0318544958068363,-0.0319610573493253
"1421",-0.0324900369252069,-0.0323612791734312,-0.0321936425136521,-0.0320777432362731,-0.0319536303301908,-0.0318289045601213,-0.0317203839796704,-0.031576773406112,-0.0314765512521581,-0.0313821292803766,-0.0312838100293738,-0.031211042393002,-0.0311177872877451,-0.0310321848686748,-0.0309689357851094,-0.0309371073339318,-0.0308517773173989,-0.0308248677242807,-0.0308341509590217,-0.0308612977496225,-0.0308313742399988,-0.0308998280565277,-0.0309211850563107,-0.0309136808909476,-0.0309434991846547,-0.0309383159038788,-0.0310498789855656,-0.031059781244392,-0.0311186854508722,-0.0311988323432473,-0.0313213755180256,-0.0314003242350178,-0.0314724348969393,-0.0315984102304618,-0.0316797059904747,-0.0318528529746723,-0.0319595494843563
"1422",-0.032486234269094,-0.0323575432535778,-0.0321900038936006,-0.032074065896663,-0.0319499069528483,-0.0318250368181122,-0.0317164634620446,-0.0315727710995575,-0.0314725387592967,-0.0313780580020959,-0.0312797236202433,-0.0312069736241093,-0.0311138608557317,-0.0310284146472414,-0.0309652750018948,-0.0309335185642687,-0.0308483246439292,-0.0308216126262873,-0.0308310491601482,-0.0308583306247665,-0.030828610035212,-0.0308972774349036,-0.0309189110286841,-0.0309116054774833,-0.0309415804542243,-0.0309365661859219,-0.0310481866145806,-0.0310581124160934,-0.0311170362686463,-0.0311971603002015,-0.0313196398565118,-0.0313985485155344,-0.0314706172492158,-0.0315965685454533,-0.031677939864396,-0.0318512101425084,-0.0319580416193874
"1423",-0.0324824316129811,-0.0323538073337245,-0.0321863652735492,-0.0320703885570529,-0.0319461835755058,-0.0318211690761031,-0.0317125429444188,-0.0315687687930031,-0.0314685262664354,-0.0313739867238152,-0.0312756372111129,-0.0312029048552165,-0.0311099344237183,-0.0310246444258079,-0.0309616142186801,-0.0309299297946057,-0.0308448719704595,-0.0308183575282939,-0.0308279473612747,-0.0308553634999105,-0.0308258458304251,-0.0308947268132796,-0.0309166370010574,-0.0309095300640191,-0.030939661723794,-0.0309348164679649,-0.0310464942435955,-0.0310564435877947,-0.0311153870864204,-0.0311954882571556,-0.031317904194998,-0.031396772796051,-0.0314687996014924,-0.0315947268604447,-0.0316761737383173,-0.0318495673103444,-0.0319565337544184
"1424",-0.0324786289568682,-0.0323500714138712,-0.0321827266534978,-0.0320667112174428,-0.0319424601981633,-0.0318173013340939,-0.031708622426793,-0.0315647664864487,-0.031464513773574,-0.0313699154455345,-0.0312715508019824,-0.0311988360863238,-0.031106007991705,-0.0310208742043745,-0.0309579534354654,-0.0309263410249427,-0.0308414192969898,-0.0308151024303005,-0.0308248455624012,-0.0308523963750545,-0.0308230816256383,-0.0308921761916555,-0.0309143629734308,-0.0309074546505548,-0.0309377429933636,-0.0309330667500081,-0.0310448018726105,-0.031054774759496,-0.0311137379041945,-0.0311938162141099,-0.0313161685334842,-0.0313949970765677,-0.0314669819537689,-0.0315928851754362,-0.0316744076122387,-0.0318479244781804,-0.0319550258894495
"1425",-0.0324748263007553,-0.0323463354940178,-0.0321790880334464,-0.0320630338778326,-0.0319387368208208,-0.0318134335920848,-0.0317047019091672,-0.0315607641798943,-0.0314605012807126,-0.0313658441672538,-0.031267464392852,-0.031194767317431,-0.0311020815596916,-0.031017103982941,-0.0309542926522508,-0.0309227522552796,-0.0308379666235202,-0.0308118473323071,-0.0308217437635277,-0.0308494292501985,-0.0308203174208515,-0.0308896255700314,-0.0309120889458041,-0.0309053792370906,-0.0309358242629332,-0.0309313170320511,-0.0310431095016255,-0.0310531059311974,-0.0311120887219686,-0.031192144171064,-0.0313144328719704,-0.0313932213570843,-0.0314651643060454,-0.0315910434904277,-0.03167264148616,-0.0318462816460164,-0.0319535180244806
"1426",-0.0324710236446424,-0.0323425995741645,-0.032175449413395,-0.0320593565382225,-0.0319350134434783,-0.0318095658500757,-0.0317007813915414,-0.0315567618733399,-0.0314564887878513,-0.0313617728889731,-0.0312633779837215,-0.0311906985485383,-0.0310981551276782,-0.0310133337615075,-0.0309506318690361,-0.0309191634856166,-0.0308345139500505,-0.0308085922343136,-0.0308186419646542,-0.0308464621253425,-0.0308175532160647,-0.0308870749484073,-0.0309098149181774,-0.0309033038236263,-0.0309339055325028,-0.0309295673140942,-0.0310414171306405,-0.0310514371028987,-0.0311104395397427,-0.0311904721280182,-0.0313126972104566,-0.0313914456376009,-0.0314633466583219,-0.0315892018054191,-0.0316708753600813,-0.0318446388138525,-0.0319520101595116
"1427",-0.0324672209885295,-0.0323388636543112,-0.0321718107933436,-0.0320556791986124,-0.0319312900661358,-0.0318056981080665,-0.0316968608739156,-0.0315527595667855,-0.0314524762949899,-0.0313577016106924,-0.0312592915745911,-0.0311866297796455,-0.0310942286956648,-0.0310095635400741,-0.0309469710858214,-0.0309155747159536,-0.0308310612765808,-0.0308053371363202,-0.0308155401657807,-0.0308434950004864,-0.0308147890112778,-0.0308845243267832,-0.0309075408905508,-0.0309012284101621,-0.0309319868020724,-0.0309278175961373,-0.0310397247596555,-0.0310497682746,-0.0311087903575168,-0.0311888000849724,-0.0313109615489427,-0.0313896699181176,-0.0314615290105985,-0.0315873601204106,-0.0316691092340027,-0.0318429959816885,-0.0319505022945427
"1428",-0.0324634183324167,-0.0323351277344579,-0.0321681721732921,-0.0320520018590023,-0.0319275666887934,-0.0318018303660574,-0.0316929403562898,-0.0315487572602311,-0.0314484638021285,-0.0313536303324116,-0.0312552051654607,-0.0311825610107528,-0.0310903022636514,-0.0310057933186406,-0.0309433103026068,-0.0309119859462905,-0.0308276086031111,-0.0308020820383268,-0.0308124383669072,-0.0308405278756304,-0.030812024806491,-0.0308819737051591,-0.0309052668629241,-0.0308991529966978,-0.030930068071642,-0.0309260678781804,-0.0310380323886704,-0.0310480994463014,-0.0311071411752909,-0.0311871280419267,-0.0313092258874289,-0.0313878941986342,-0.031459711362875,-0.0315855184354021,-0.031667343107924,-0.0318413531495245,-0.0319489944295738
"1429",-0.0324596156763038,-0.0323313918146045,-0.0321645335532407,-0.0320483245193921,-0.0319238433114509,-0.0317979626240483,-0.031689019838664,-0.0315447549536766,-0.0314444513092672,-0.031349559054131,-0.0312511187563302,-0.03117849224186,-0.031086375831638,-0.0310020230972072,-0.0309396495193921,-0.0309083971766275,-0.0308241559296414,-0.0307988269403334,-0.0308093365680337,-0.0308375607507744,-0.0308092606017042,-0.030879423083535,-0.0309029928352974,-0.0308970775832336,-0.0309281493412116,-0.0309243181602235,-0.0310363400176854,-0.0310464306180027,-0.0311054919930649,-0.0311854559988808,-0.0313074902259151,-0.0313861184791508,-0.0314578937151515,-0.0315836767503935,-0.0316655769818453,-0.0318397103173605,-0.0319474865646048
"1430",-0.0324558130201909,-0.0323276558947512,-0.0321608949331893,-0.032044647179782,-0.0319201199341084,-0.0317940948820392,-0.0316850993210382,-0.0315407526471222,-0.0314404388164058,-0.0313454877758502,-0.0312470323471998,-0.0311744234729673,-0.0310824493996246,-0.0309982528757737,-0.0309359887361774,-0.0309048084069645,-0.0308207032561718,-0.0307955718423399,-0.0308062347691602,-0.0308345936259184,-0.0308064963969174,-0.030876872461911,-0.0309007188076708,-0.0308950021697693,-0.0309262306107813,-0.0309225684422666,-0.0310346476467004,-0.031044761789704,-0.031103842810839,-0.031183783955835,-0.0313057545644013,-0.0313843427596674,-0.031456076067428,-0.031581835065385,-0.0316638108557667,-0.0318380674851966,-0.0319459786996359
"1431",-0.032452010364078,-0.0323239199748979,-0.0321572563131379,-0.0320409698401719,-0.0319163965567659,-0.03179022714003,-0.0316811788034124,-0.0315367503405678,-0.0314364263235445,-0.0313414164975695,-0.0312429459380693,-0.0311703547040745,-0.0310785229676112,-0.0309944826543403,-0.0309323279529627,-0.0309012196373014,-0.0308172505827021,-0.0307923167443465,-0.0308031329702867,-0.0308316265010624,-0.0308037321921306,-0.0308743218402869,-0.0308984447800441,-0.0308929267563051,-0.0309243118803509,-0.0309208187243097,-0.0310329552757154,-0.0310430929614054,-0.0311021936286131,-0.0311821119127892,-0.0313040189028875,-0.0313825670401841,-0.0314542584197046,-0.0315799933803765,-0.031662044729688,-0.0318364246530326,-0.0319444708346669
"1432",-0.0324482077079651,-0.0323201840550445,-0.0321536176930865,-0.0320372925005618,-0.0319126731794234,-0.0317863593980209,-0.0316772582857866,-0.0315327480340134,-0.0314324138306831,-0.0313373452192888,-0.0312388595289389,-0.0311662859351818,-0.0310745965355979,-0.0309907124329068,-0.0309286671697481,-0.0308976308676384,-0.0308137979092324,-0.0307890616463531,-0.0308000311714132,-0.0308286593762064,-0.0308009679873437,-0.0308717712186628,-0.0308961707524174,-0.0308908513428408,-0.0309223931499205,-0.0309190690063528,-0.0310312629047303,-0.0310414241331067,-0.0311005444463872,-0.0311804398697434,-0.0313022832413736,-0.0313807913207007,-0.0314524407719811,-0.0315781516953679,-0.0316602786036093,-0.0318347818208686,-0.031942962969698
"1433",-0.0324444050518522,-0.0323164481351912,-0.032149979073035,-0.0320336151609516,-0.0319089498020809,-0.0317824916560118,-0.0316733377681608,-0.031528745727459,-0.0314284013378217,-0.0313332739410081,-0.0312347731198084,-0.031162217166289,-0.0310706701035845,-0.0309869422114734,-0.0309250063865334,-0.0308940420979754,-0.0308103452357627,-0.0307858065483597,-0.0307969293725397,-0.0308256922513504,-0.0307982037825569,-0.0308692205970387,-0.0308938967247908,-0.0308887759293766,-0.0309204744194901,-0.0309173192883958,-0.0310295705337453,-0.031039755304808,-0.0310988952641613,-0.0311787678266976,-0.0313005475798598,-0.0313790156012173,-0.0314506231242576,-0.0315763100103594,-0.0316585124775307,-0.0318331389887046,-0.0319414551047291
"1434",-0.0324406023957393,-0.0323127122153379,-0.0321463404529836,-0.0320299378213415,-0.0319052264247384,-0.0317786239140027,-0.031669417250535,-0.0315247434209046,-0.0314243888449604,-0.0313292026627274,-0.031230686710678,-0.0311581483973963,-0.0310667436715711,-0.0309831719900399,-0.0309213456033187,-0.0308904533283123,-0.0308068925622931,-0.0307825514503663,-0.0307938275736662,-0.0308227251264943,-0.0307954395777701,-0.0308666699754146,-0.0308916226971641,-0.0308867005159123,-0.0309185556890597,-0.0309155695704389,-0.0310278781627603,-0.0310380864765094,-0.0310972460819354,-0.0311770957836518,-0.031298811918346,-0.0313772398817339,-0.0314488054765341,-0.0315744683253509,-0.031656746351452,-0.0318314961565407,-0.0319399472397601
"1435",-0.0324367997396264,-0.0323089762954845,-0.0321427018329322,-0.0320262604817314,-0.0319015030473959,-0.0317747561719935,-0.0316654967329092,-0.0315207411143501,-0.031420376352099,-0.0313251313844467,-0.0312266003015475,-0.0311540796285035,-0.0310628172395577,-0.0309794017686065,-0.0309176848201041,-0.0308868645586493,-0.0308034398888234,-0.0307792963523728,-0.0307907257747927,-0.0308197580016383,-0.0307926753729833,-0.0308641193537905,-0.0308893486695375,-0.0308846251024481,-0.0309166369586293,-0.030913819852482,-0.0310261857917753,-0.0310364176482107,-0.0310955968997095,-0.031175423740606,-0.0312970762568322,-0.0313754641622506,-0.0314469878288107,-0.0315726266403423,-0.0316549802253733,-0.0318298533243767,-0.0319384393747912
