"","x"
"273","29/12/1980 (morning)"
"274","31/12/1980 (evening)"
"275","02/01/1981 (morning)"
"276","03/01/1981 (evening)"
"277","05/01/1981 (morning)"
"278","06/01/1981 (evening)"
"279","08/01/1981 (morning)"
"280","09/01/1981 (evening)"
"281","11/01/1981 (morning)"
"282","12/01/1981 (evening)"
"283","14/01/1981 (morning)"
"284","16/01/1981 (evening)"
"285","17/01/1981 (morning)"
"286","19/01/1981 (evening)"
"287","20/01/1981 (morning)"
"288","22/01/1981 (evening)"
"289","23/01/1981 (morning)"
"290","25/01/1981 (evening)"
"291","26/01/1981 (morning)"
"292","28/01/1981 (evening)"
"293","29/01/1981 (morning)"
"294","31/01/1981 (evening)"
"295","02/02/1981 (morning)"
"296","03/02/1981 (evening)"
"297","05/02/1981 (morning)"
"298","06/02/1981 (evening)"
"299","08/02/1981 (morning)"
"300","09/02/1981 (evening)"
"301","11/02/1981 (morning)"
"302","12/02/1981 (evening)"
"303","14/02/1981 (morning)"
"304","16/02/1981 (evening)"
"305","17/02/1981 (morning)"
"306","19/02/1981 (evening)"
"307","20/02/1981 (morning)"
"308","22/02/1981 (evening)"
"309","23/02/1981 (morning)"
"310","25/02/1981 (evening)"
"311","26/02/1981 (morning)"
"312","28/02/1981 (evening)"
"313","02/03/1981 (morning)"
"314","03/03/1981 (evening)"
"315","05/03/1981 (morning)"
"316","06/03/1981 (evening)"
"317","08/03/1981 (morning)"
"318","09/03/1981 (evening)"
"319","11/03/1981 (morning)"
"320","12/03/1981 (evening)"
"321","14/03/1981 (morning)"
"322","16/03/1981 (evening)"
"323","17/03/1981 (morning)"
"324","19/03/1981 (evening)"
"325","20/03/1981 (morning)"
"326","22/03/1981 (evening)"
"327","23/03/1981 (morning)"
"328","25/03/1981 (evening)"
"329","26/03/1981 (morning)"
"330","28/03/1981 (evening)"
"331","29/03/1981 (morning)"
"332","31/03/1981 (evening)"
"333","02/09/1981 (morning)"
"334","03/09/1981 (evening)"
"335","05/09/1981 (morning)"
"336","06/09/1981 (evening)"
"337","08/09/1981 (morning)"
"338","10/09/1981 (evening)"
"339","11/09/1981 (morning)"
"340","13/09/1981 (evening)"
"341","14/09/1981 (morning)"
"342","16/09/1981 (evening)"
"343","17/09/1981 (morning)"
"344","19/09/1981 (evening)"
"345","20/09/1981 (morning)"
"346","22/09/1981 (evening)"
"347","24/09/1981 (morning)"
"348","25/09/1981 (evening)"
"349","27/09/1981 (morning)"
"350","28/09/1981 (evening)"
"351","30/09/1981 (morning)"
"352","01/10/1981 (evening)"
"353","03/10/1981 (morning)"
"354","04/10/1981 (evening)"
"355","06/10/1981 (morning)"
"356","07/10/1981 (evening)"
"357","09/10/1981 (morning)"
"358","11/10/1981 (evening)"
"359","12/10/1981 (morning)"
"360","14/10/1981 (evening)"
"361","15/10/1981 (morning)"
"362","17/10/1981 (evening)"
"363","18/10/1981 (morning)"
"364","20/10/1981 (evening)"
"365","21/10/1981 (morning)"
"366","23/10/1981 (evening)"
"367","25/10/1981 (morning)"
"368","26/10/1981 (evening)"
"369","28/10/1981 (morning)"
"370","29/10/1981 (evening)"
"371","31/10/1981 (morning)"
"372","01/11/1981 (evening)"
"373","03/11/1981 (morning)"
"374","04/11/1981 (evening)"
"375","06/11/1981 (morning)"
"376","08/11/1981 (evening)"
"377","09/11/1981 (morning)"
"378","11/11/1981 (evening)"
"379","12/11/1981 (morning)"
"380","14/11/1981 (evening)"
"381","15/11/1981 (morning)"
"382","17/11/1981 (evening)"
"383","18/11/1981 (morning)"
"384","20/11/1981 (evening)"
"385","22/11/1981 (morning)"
"386","23/11/1981 (evening)"
"387","25/11/1981 (morning)"
"388","26/11/1981 (evening)"
"389","28/11/1981 (morning)"
"390","29/11/1981 (evening)"
"391","01/12/1981 (morning)"
"392","02/12/1981 (evening)"
"393","04/12/1981 (morning)"
"394","05/12/1981 (evening)"
"395","07/12/1981 (morning)"
"396","09/12/1981 (evening)"
"397","10/12/1981 (morning)"
"398","12/12/1981 (evening)"
"399","13/12/1981 (morning)"
"400","15/12/1981 (evening)"
"401","16/12/1981 (morning)"
"402","18/12/1981 (evening)"
"403","19/12/1981 (morning)"
"404","21/12/1981 (evening)"
"405","23/12/1981 (morning)"
"406","24/12/1981 (evening)"
"407","26/12/1981 (morning)"
"408","27/12/1981 (evening)"
"409","29/12/1981 (morning)"
"410","30/12/1981 (evening)"
"411","01/01/1982 (morning)"
"412","02/01/1982 (evening)"
"413","04/01/1982 (morning)"
"414","06/01/1982 (evening)"
"415","07/01/1982 (morning)"
"416","09/01/1982 (evening)"
"417","10/01/1982 (morning)"
"418","12/01/1982 (evening)"
"419","13/01/1982 (morning)"
"420","15/01/1982 (evening)"
"421","16/01/1982 (morning)"
"422","18/01/1982 (evening)"
"423","20/01/1982 (morning)"
"424","21/01/1982 (evening)"
"425","23/01/1982 (morning)"
"426","24/01/1982 (evening)"
"427","26/01/1982 (morning)"
"428","27/01/1982 (evening)"
"429","29/01/1982 (morning)"
"430","30/01/1982 (evening)"
"431","01/02/1982 (morning)"
"432","02/02/1982 (evening)"
"433","04/02/1982 (morning)"
"434","06/02/1982 (evening)"
"435","07/02/1982 (morning)"
"436","09/02/1982 (evening)"
"437","10/02/1982 (morning)"
"438","12/02/1982 (evening)"
"439","13/02/1982 (morning)"
"440","15/02/1982 (evening)"
"441","16/02/1982 (morning)"
