"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","indice_originel"
"101",2.66554221767496,2.6654109715498,2.67528091322078,2.67515466328356,2.67502494059049,2.67489986360159,2.67478476787925,2.67467812370257,2.67457228324956,2.67447158207218,2.6743799401672,2.67429632114368,2.67421993233894,2.68415298601929,2.68409853260386,2.68404511314496,2.68400414726338,2.68397192582642,2.68395034980832,2.68393879694366,2.68393325066209,2.68393932333101,2.6839551578048,2.68397978649286,2.69401601034785,2.69405542361374,2.69410698971384,2.6941683055338,2.69423618351754,2.70431501037774,2.70440164744887,2.71449664538484,2.7245895663947,2.73469629252898,2.74480847745189,2.74492661840577,2.75504484826302,101
"123",5.55675745477312,5.59659743042783,5.63643885432567,5.67628492167797,5.70612675480634,5.74597425229828,5.78583391964015,5.82570389169051,5.8555748436963,5.8954520618621,5.93534032571882,5.97523837162701,5.97514523311758,5.98506360753847,5.99499721417148,6.00493208147576,6.01488213304206,6.02484284643953,6.03481653946729,6.04480245341636,6.05479569100661,6.06480309522419,6.06482240170884,6.07485243070724,6.08489659733443,6.09494465271177,6.10500752566438,6.11508228614919,6.12516504767753,6.13526115883267,6.14536679273666,6.14548262078484,6.15559591650117,6.16572604437919,6.17586282798951,6.18600687360438,6.19615102761637,123
"135",4.49742031137212,4.45724458981585,4.4170704585647,4.38690142625673,4.34672774437863,4.30656028249648,4.266406184237,4.22626340150211,4.19612169484908,4.15598686902023,4.11586417238333,4.07575221734519,4.0356499426332,4.0055603101853,3.96548740411746,3.92541588238346,3.88536103437589,3.84531789404668,3.815289006554,3.7752735387651,3.7352661130127,3.70527424352956,3.68529544383832,3.65532841846054,3.63537691750892,3.60542968676524,3.58549872709195,3.55558082103031,3.53567170085571,3.50577723980808,3.47589323562091,3.45602042554848,3.42614483474107,3.40628772720658,3.37643792828276,3.35659610371272,3.32675439817275,135
"157",7.00863554847028,6.99843104869388,6.99822839966959,6.99803168465114,6.99782955859448,6.99763467119317,6.9974553359979,6.99728916949005,6.99712425529582,6.98696734881015,6.98682455793495,6.98669426782852,6.98657524341184,6.98647093170448,6.98638608568508,6.98630285071425,6.98623902015457,6.98618881465978,6.97615519621297,6.97613719523779,6.97612855335722,6.97613801542274,6.97616268774236,6.97620106267492,6.9762575044955,6.97631891586327,6.97639926304249,6.96649480164569,6.96660056501571,6.966723388263,6.9668583809087,6.96700640094847,6.93715118484755,6.90731747905679,6.87749227882038,6.84767635891133,6.8178605775261,157
"180",5.07990602361836,5.09967143752091,5.11943897446107,5.1492133184271,5.16898145527469,5.18875789573971,5.2185521764752,5.23836156329563,5.25817238667197,5.28799239586324,5.30782859737527,5.33767913878837,5.35754260331678,5.3774229451109,5.40732561641487,5.42723013578735,5.46715691437774,5.50709932257348,5.55706075812916,5.59704010882289,5.63703019553557,5.6770410496747,5.71706935182386,5.75711337253541,5.80717811816328,5.84724856446576,5.88734073244533,5.9274503268345,5.96757165027388,6.01771254346587,6.05786739643685,6.09803719341211,6.13820327814068,6.17839403780928,6.21859455438244,6.26880571661897,6.30901703775915,180
"194",5.92067935631719,5.93042645680693,5.90017584607327,5.869932573769,5.84968260977569,5.81944159763761,5.78921981850486,5.7690143247425,5.73881037968353,5.70861633754773,5.6884397518172,5.65827862545958,5.628131431085,5.6080024315322,5.57789750468517,5.54779457017967,5.52771563260054,5.49765354478182,5.47761196973032,5.44758970839642,5.41757902120935,5.39759072269763,5.36762123430826,5.33766869158093,5.31773849170019,5.28781443752814,5.25791380077749,5.23803195086248,5.20816274564842,5.17831463793719,5.15848157980181,5.12866463230302,5.09884368275389,5.07904933444123,5.04926550472456,5.01949315174535,4.99972097007492,194
"202",1.87112126071652,1.88085789639894,1.88059691556596,1.89034357682151,1.89008326949055,1.89983228443641,1.8996013282361,1.90938733128356,1.90917494711871,1.91897287565316,1.91878898292688,1.9286211892717,1.92846790409542,1.93833356663008,1.93822429798249,1.94811710411814,1.94803490015642,1.95797024318659,1.95792694778813,1.96790376529558,1.96789263588008,1.97790482156788,1.97793659572791,1.9879860167498,1.98805870514986,1.99813779356379,1.99824126839587,2.00836430744989,2.00850051443387,2.00865869192079,2.00883254172464,2.00902316881211,2.00920962824716,2.00942378965948,2.00964890492006,2.00988597181758,2.01012321711251,202
"208",3.59145268901602,3.57118147609295,3.56091271768547,3.54065182911089,3.52038376427669,3.5001252995355,3.48988746053452,3.46966708618937,3.4494483726951,3.42924027923222,3.41905090625914,3.39887811213079,3.37872025885323,3.35858191795349,3.33846939295548,3.32835900457199,3.30827435082333,3.28820776699016,3.26816318133149,3.25813930796995,3.23812784688313,3.21814039572057,3.19817311679265,3.18822401062645,3.1682988652371,3.14838031059053,3.13848686910965,3.11861357489045,3.09875384102296,3.0889167324085,3.06909576316677,3.04929207119392,3.03948408736711,3.01970463107318,2.99993645506669,2.99018058687174,2.9704249023907,208
"214",1.34178411731552,1.34150505578696,1.33122851980499,1.33096008140027,1.33068425906283,1.3204183146346,1.32017359283295,1.31994684109517,1.30972179827148,1.30950768281129,1.2993128295914,1.29913503498988,1.29897261361104,1.28883026927691,1.28871448792847,1.27860090502584,1.27851380149025,1.26844529079374,1.26839941487484,1.26837485064432,1.25836305788618,1.25837596987325,1.24840963785739,1.2484620045031,1.23853902532435,1.23862282761726,1.23873246982344,1.22886284233101,1.22900716761205,1.21917477289621,1.21935898460889,1.20956097357574,1.20975854648705,1.19998547248687,1.20022400521331,1.20047520192591,1.19072658766888,214
"220",3.96211554561502,3.95182863548097,3.9415443219245,3.94126833368966,3.93098475384898,3.9207113297337,3.92045972513138,3.91022659600097,3.89999522384787,3.88977508639036,3.88957475292366,3.87939195784897,3.86922496836885,3.86907862060032,3.85895958290146,3.8488428054797,3.84875325215716,3.83868281459731,3.8286356484182,3.8286103933187,3.81859826888923,3.80861154402594,3.80864615892212,3.79869999837975,3.7887791854116,3.778865344644,3.77897807053722,3.76911210977157,3.75926049420114,3.75943281338391,3.74962220605102,3.73982987595756,3.740033005607,3.73026631390056,3.72051155535994,3.71076981698008,3.69102827294707,220
